"ID_PACJENTA"|"IMIE"|"NAZWISKO"|"WIEK"|"TELEFON"|"PESEL"
1|"Hilary"|"Best"|50|"159-934-833"|"68042542246"
2|"Kevin"|"Mack"|32|"365-737-744"|"94992634282"
3|"Aretha"|"Gray"|21|"546-440-923"|"63252317954"
4|"Minerva"|"Coleman"|88|"844-418-293"|"81601645113"
5|"Marshall"|"Tucker"|70|"730-485-477"|"89384273726"
6|"Bernard"|"Page"|68|"950-402-311"|"79195897376"
7|"Sybill"|"Hughes"|96|"513-651-299"|"94569889981"
8|"Galvin"|"Tanner"|69|"982-122-353"|"74570014631"
9|"Kelsey"|"Avila"|72|"558-813-923"|"92403988403"
10|"Reuben"|"Lloyd"|21|"449-651-887"|"63272169049"
11|"Jescie"|"Terrell"|93|"234-916-419"|"87584785758"
12|"Walker"|"Roth"|72|"121-987-275"|"92721476138"
13|"Preston"|"Kelley"|85|"761-263-705"|"84184657603"
14|"Ryder"|"Pennington"|41|"575-663-471"|"95107365456"
15|"Shafira"|"Hinton"|70|"712-829-309"|"86274152209"
16|"Davis"|"Lindsay"|49|"501-167-505"|"80653508748"
17|"Rahim"|"Rosales"|72|"447-730-650"|"75056212693"
18|"Chelsea"|"Love"|39|"603-719-560"|"54686472738"
19|"Gavin"|"Black"|78|"142-815-870"|"91058855602"
20|"Leah"|"Key"|94|"800-282-238"|"56820438257"
21|"Barbara"|"Rasmussen"|35|"877-159-637"|"81404666990"
22|"Akeem"|"Rojas"|60|"966-984-297"|"52031953541"
23|"Colby"|"Clayton"|90|"506-202-255"|"91065645057"
24|"Sonya"|"Duran"|64|"422-110-439"|"56774587667"
25|"Dolan"|"Mcclain"|36|"202-823-139"|"79104716820"
26|"Harding"|"Bass"|49|"946-247-280"|"60185338532"
27|"Eden"|"Ellis"|19|"540-823-126"|"50413854481"
28|"Camden"|"Cote"|90|"513-237-956"|"51040453501"
29|"Joel"|"Becker"|91|"553-645-957"|"78707984198"
30|"Ignacia"|"Nichols"|81|"329-632-438"|"50899138866"
31|"Mariko"|"Santana"|72|"532-896-491"|"54847933748"
32|"Merrill"|"Tucker"|45|"425-489-622"|"74520419864"
33|"Breanna"|"Sykes"|50|"847-127-766"|"94626615551"
34|"Linda"|"Guy"|17|"982-510-583"|"87692898630"
35|"Griffin"|"Hyde"|53|"828-531-307"|"94546835254"
36|"Alika"|"Marsh"|84|"156-308-456"|"84392935543"
37|"Devin"|"Page"|55|"747-600-720"|"72026918015"
38|"TaShya"|"Deleon"|68|"721-362-297"|"88796222610"
39|"Rhonda"|"West"|84|"362-123-195"|"57219037091"
40|"Clarke"|"Gaines"|17|"803-939-249"|"96338367410"
41|"Amos"|"Beard"|64|"832-235-435"|"51379378551"
42|"Rylee"|"Powers"|37|"852-256-270"|"51861989215"
43|"Mechelle"|"Park"|47|"357-560-114"|"75970448420"
44|"Jennifer"|"Williams"|75|"782-107-615"|"84515280154"
45|"Alfreda"|"Saunders"|88|"404-250-252"|"79013188321"
46|"Kitra"|"Mays"|44|"331-531-393"|"90006210420"
47|"Xanthus"|"Pate"|39|"813-328-334"|"76597157488"
48|"Trevor"|"Lopez"|28|"374-438-667"|"95460952422"
49|"Heidi"|"Higgins"|29|"722-145-979"|"69764864745"
50|"Yeo"|"Downs"|52|"252-695-451"|"59491115598"
51|"Matthew"|"Sweeney"|20|"853-167-655"|"75507541382"
52|"Hu"|"Vargas"|28|"806-166-601"|"90897780320"
53|"Jessamine"|"Trevino"|63|"571-887-642"|"60479065570"
54|"Briar"|"Hahn"|27|"321-938-698"|"87084268749"
55|"Imani"|"Emerson"|19|"987-266-830"|"56862346388"
56|"Graham"|"Mueller"|47|"596-799-548"|"71001290966"
57|"Lavinia"|"Newman"|94|"667-474-167"|"53868839598"
58|"Barbara"|"Caldwell"|92|"568-137-982"|"92444409707"
59|"Kathleen"|"Stafford"|26|"557-295-691"|"65921717885"
60|"Latifah"|"Burnett"|22|"557-360-169"|"64992496806"
61|"Quinn"|"Beasley"|20|"955-764-324"|"69948523141"
62|"Grace"|"Collier"|66|"561-208-205"|"55881329233"
63|"Fallon"|"Casey"|24|"406-972-495"|"92398042530"
64|"Gannon"|"Petty"|48|"910-230-951"|"74316537378"
65|"Kimberly"|"Wise"|73|"637-324-674"|"57719838018"
66|"Gillian"|"Vargas"|58|"786-890-895"|"98584075227"
67|"Kane"|"Wyatt"|31|"265-998-445"|"88938252548"
68|"Larissa"|"Allen"|19|"179-758-748"|"64959410795"
69|"Kathleen"|"Trevino"|37|"709-308-233"|"82778036761"
70|"Rinah"|"Reynolds"|15|"887-753-637"|"73414427412"
71|"Patricia"|"Christian"|15|"180-911-725"|"54460828222"
72|"Axel"|"Randall"|53|"162-838-202"|"91372979459"
73|"Virginia"|"Durham"|19|"929-111-293"|"82168640991"
74|"Gemma"|"Browning"|20|"816-100-911"|"59445704220"
75|"Arthur"|"White"|90|"291-193-212"|"76209689713"
76|"Shellie"|"Brock"|48|"995-696-797"|"88079191377"
77|"Helen"|"Cunningham"|82|"336-436-757"|"50186344962"
78|"Echo"|"Wallace"|66|"784-344-814"|"82755883481"
79|"Jocelyn"|"Frederick"|83|"351-905-670"|"65937884038"
80|"Russell"|"Bauer"|22|"479-994-485"|"91462922125"
81|"Indira"|"Acosta"|81|"323-423-981"|"97044760097"
82|"Blythe"|"Weiss"|96|"236-226-574"|"54622650454"
83|"Kiona"|"Witt"|16|"322-755-143"|"59273951444"
84|"Baxter"|"Luna"|50|"177-780-447"|"92526330709"
85|"Sydnee"|"Bond"|41|"945-201-715"|"50470364107"
86|"Jane"|"Herrera"|64|"843-612-756"|"75715713860"
87|"Shoshana"|"Ford"|37|"216-737-808"|"69921756707"
88|"Iona"|"Lucas"|67|"140-402-587"|"59454840742"
89|"Griffith"|"Cooper"|59|"637-300-181"|"93467731217"
90|"Aurora"|"Phillips"|83|"772-703-961"|"88821140264"
91|"Acton"|"Colon"|72|"580-301-319"|"74443043632"
92|"Phelan"|"Blanchard"|15|"577-758-154"|"59563186944"
93|"Melanie"|"Frank"|55|"382-403-534"|"72819460067"
94|"Patience"|"Moreno"|63|"713-598-303"|"88247216566"
95|"Aretha"|"Thornton"|97|"527-858-202"|"84019313710"
96|"Charity"|"Fields"|81|"709-159-989"|"63579211730"
97|"Vance"|"Ortega"|24|"823-709-520"|"87346048662"
98|"Tanek"|"Byrd"|87|"688-694-682"|"76370298059"
99|"Philip"|"Bray"|63|"897-268-210"|"58551774407"
100|"Orlando"|"Shaw"|29|"640-510-869"|"55099953380"
