"ID_PRACOWNIKA"|"IMIE"|"NAZWISKO"|"TELEFON"|"STAZ"|"PESEL"
1|"Cassidy"|"Lynn"|"813-181-202"|6|"96357553583"
2|"Jerome"|"Page"|"351-450-141"|5|"75152533668"
3|"Marsden"|"Campbell"|"891-614-647"|10|"87794340492"
4|"Macon"|"Nicholson"|"770-371-784"|4|"98221073116"
5|"Thomas"|"Rollins"|"614-851-337"|1|"61184960382"
6|"Quincy"|"Bass"|"683-401-343"|5|"62291486853"
7|"Blake"|"Larsen"|"353-765-135"|5|"73201530933"
8|"Tyrone"|"Rivera"|"121-134-677"|13|"53514316913"
9|"Carla"|"Delacruz"|"740-400-763"|4|"75210051230"
10|"Felix"|"Martin"|"746-192-860"|14|"66393758593"
11|"Dane"|"Scott"|"922-139-772"|3|"62435798622"
12|"Ella"|"Gallegos"|"194-112-711"|1|"59335662662"
13|"Baker"|"Langley"|"735-932-753"|15|"63335233864"
14|"Gannon"|"Mcdaniel"|"576-603-813"|1|"71016101332"
15|"Indigo"|"Caldwell"|"891-218-757"|15|"79750498909"
16|"Tana"|"Ashley"|"746-785-815"|5|"54954010805"
17|"Cara"|"Moreno"|"527-714-384"|14|"58853281335"
18|"Wanda"|"Long"|"662-411-674"|11|"86503183877"
19|"Sloane"|"Peterson"|"264-307-256"|6|"71199991484"
20|"Zorita"|"Wooten"|"123-239-876"|10|"98046955886"
21|"Lani"|"Peck"|"590-671-135"|8|"88266241397"
22|"Vance"|"Travis"|"130-429-295"|2|"87108433406"
23|"Ross"|"Holman"|"380-190-456"|3|"71970431914"
24|"Ignacia"|"Walters"|"743-944-805"|10|"55382658539"
25|"Vera"|"Evans"|"793-706-368"|11|"58880405979"
26|"Mikayla"|"Reese"|"197-545-591"|10|"72839561195"
27|"Hollee"|"Frye"|"470-432-129"|4|"95805372588"
28|"Roth"|"Walls"|"654-109-926"|7|"70355354084"
29|"Keely"|"Contreras"|"555-986-289"|2|"95518348459"
30|"Naida"|"England"|"312-412-677"|1|"50495441437"
31|"Phoebe"|"Holcomb"|"233-104-895"|12|"82475011814"
32|"Kadeem"|"Santos"|"571-608-579"|7|"65613310906"
33|"Cooper"|"Burton"|"451-409-467"|1|"92949352562"
34|"Camille"|"Sosa"|"235-219-904"|5|"92706379574"
35|"Kitra"|"Ross"|"762-765-445"|5|"89843932662"
36|"Rebecca"|"Savage"|"330-520-673"|7|"56542317661"
37|"Jordan"|"Crosby"|"479-123-586"|6|"88792298838"
38|"Basia"|"Mercer"|"811-216-841"|15|"58603560192"
39|"Stephen"|"Bell"|"481-716-589"|5|"54050804303"
40|"Tarik"|"Roy"|"309-568-988"|2|"73291450120"
41|"Lacy"|"Christian"|"268-433-227"|5|"77113687272"
42|"Indira"|"Randall"|"532-221-902"|7|"76948632955"
43|"Connor"|"Whitfield"|"803-145-417"|14|"89717499423"
44|"Zelenia"|"Sharp"|"619-839-963"|7|"82335943119"
45|"Blaze"|"Grant"|"944-498-677"|6|"50706388055"
46|"Yvette"|"Ewing"|"291-580-224"|13|"69781124495"
47|"Hermione"|"Mullins"|"980-966-740"|11|"80109665506"
48|"Winifred"|"Wallace"|"604-516-764"|2|"81554309931"
49|"Sean"|"Mcfadden"|"985-652-159"|11|"63359409062"
50|"Marah"|"Shepard"|"312-570-121"|11|"71649767722"
51|"Genevieve"|"Moran"|"282-713-309"|9|"88885448376"
52|"Bertha"|"Carney"|"635-446-653"|1|"63697438484"
53|"Nita"|"Kemp"|"592-625-721"|8|"74725669570"
54|"Baxter"|"Kerr"|"168-434-964"|4|"85560033754"
55|"Diana"|"Giles"|"449-606-811"|6|"54755420907"
56|"Maia"|"Wyatt"|"843-283-835"|9|"55592568631"
57|"Nigel"|"Hayes"|"860-939-153"|3|"82930992013"
58|"Elaine"|"Cooley"|"763-602-958"|2|"94578737862"
59|"Deirdre"|"Gomez"|"322-622-254"|13|"89774348276"
60|"Vivian"|"Tucker"|"835-855-446"|4|"64216977974"
61|"Jelani"|"Carlson"|"877-199-647"|6|"57030635962"
62|"Shelley"|"Elliott"|"440-193-556"|12|"84924066845"
63|"Marcia"|"Camacho"|"941-837-311"|7|"55454825239"
64|"Talon"|"Walter"|"499-334-991"|10|"72708525344"
65|"Lois"|"Page"|"575-858-162"|3|"65640821187"
66|"Patricia"|"Kidd"|"278-517-533"|14|"88152446901"
67|"Shea"|"Livingston"|"244-724-456"|12|"69244009900"
68|"Desiree"|"Browning"|"805-980-319"|1|"64953973043"
69|"Keely"|"Mills"|"693-847-505"|13|"90627959007"
70|"Linus"|"Simpson"|"218-921-221"|7|"60339643799"
71|"Deirdre"|"Cline"|"760-245-294"|1|"71755710248"
72|"Delilah"|"Ferguson"|"302-513-738"|14|"98809981961"
73|"Lionel"|"Gray"|"864-326-366"|11|"51039322647"
74|"Austin"|"Wheeler"|"434-571-950"|14|"98134282514"
75|"Blythe"|"Barber"|"353-525-192"|2|"86768033644"
76|"Sybill"|"Porter"|"232-942-551"|7|"66522639819"
77|"Fletcher"|"Figueroa"|"167-318-339"|1|"64618316585"
78|"Allistair"|"Albert"|"539-153-668"|15|"95739433944"
79|"Brody"|"Hines"|"987-179-469"|12|"96043206412"
80|"Sean"|"Holloway"|"374-810-599"|6|"88211198245"
81|"Raven"|"Lynch"|"856-540-247"|2|"65858959668"
82|"Cameran"|"Gonzales"|"951-166-960"|12|"98178926566"
83|"Danielle"|"Horton"|"389-890-371"|9|"71012974093"
84|"Kyra"|"Nieves"|"276-836-544"|7|"54441997202"
85|"Justin"|"Johnston"|"242-155-861"|4|"94704646506"
86|"Kyla"|"Yates"|"228-692-936"|2|"68627948870"
87|"Haley"|"Mcclain"|"466-814-627"|8|"59311357906"
88|"Karly"|"Charles"|"137-967-327"|10|"59511483918"
89|"Raja"|"Simmons"|"247-492-767"|13|"57811700495"
90|"Sydney"|"Mercado"|"165-637-914"|2|"66918743297"
91|"Rahim"|"Strickland"|"642-579-257"|5|"62370156809"
92|"Akeem"|"Wright"|"756-235-376"|10|"84555784353"
93|"Chase"|"Frederick"|"948-739-312"|9|"77252797312"
94|"Dana"|"Holmes"|"285-538-394"|15|"64751508544"
95|"Jeremy"|"Hogan"|"921-324-550"|1|"87469572522"
